"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"smaller-space"
"05/23/2022 11:31:30:518 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"29","false","false","30","10","0","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.06047714381047714","0","0.06047714381047714","0.7675712643678161","0.62275","137.19429352511239"
"28","false","false","30","10","6","5","5","5","50","50","0","8","50","50","5","5","0","0","1000","0.060810810810810814","0.03770437103770437","0.08391725058391725","0.665180614625168","0.7609166666666667","165.9092374358883"
"30","false","false","30","10","1","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.06072739406072739","0.05205205205205205","0.06151606151606152","0.5973985347985348","0.6240833333333333","209.4530089931195"
"31","false","false","30","10","2","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.06297964631297964","0.06356356356356356","0.06286286286286286","0.6655525386313466","0.5955","221.33480617906466"
"32","false","false","30","10","3","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.05538872205538872","0.03670337003670337","0.06161717272828384","0.5721381526104418","0.60675","204.41234275249587"
"34","false","false","30","10","5","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.06289622956289623","0.07587587587587588","0.053625053625053626","0.6627878868258179","0.6359166666666667","195.77825493600142"
"33","false","false","30","10","4","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.06072739406072739","0.035785785785785784","0.0731981981981982","0.602335167111177","0.6340833333333333","201.28818504370187"
"35","false","false","30","10","6","5","5","5","50","50","8","8","50","50","5","5","0","0","1000","0.05413747080413747","0.04688021354688021","0.061394728061394725","0.7310964047252182","0.61575","183.55133505187203"
"36","false","false","30","10","0","5","5","5","50","50","40","8","50","50","5","5","0","0","1000","0.062479145812479146","0","0.062479145812479146","0.7498774810858924","0.60275","171.36559230227996"
"37","false","false","30","10","1","5","5","5","50","50","40","8","50","50","5","5","0","0","1000","0.053803803803803806","0.12412412412412413","0.04741104741104741","0.6622447028423772","0.60575","150.92069624698257"
