"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"hunt"
"05/23/2022 17:05:03:954 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"14","false","false","30","10","0","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.05772439105772439","0","0.05772439105772439","0.7322772639691715","0.5873333333333334","164.80756530698656"
"15","false","false","30","10","1","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.05672339005672339","0.007007007007007007","0.061243061243061246","0.6655411764705883","0.6453333333333333","201.94382067085195"
"16","false","false","30","10","2","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06373039706373039","0.00950950950950951","0.07457457457457457","0.4991274023825949","0.6153333333333333","253.07689387841117"
"18","false","false","30","10","4","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07340674007340674","0.057057057057057055","0.08158158158158157","0.7768045454545455","0.7011666666666667","208.60089931715987"
"17","false","false","30","10","3","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06064397731064398","0.02902902902902903","0.07118229340451562","0.6687153140761118","0.6729166666666667","180.69713796817337"
"19","false","false","30","10","5","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.06815148481815149","0.01981981981981982","0.10267410267410268","0.5756813953488372","0.7228333333333333","247.09639278287298"
"20","false","false","30","10","6","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.07515849182515849","0.03803803803803804","0.11227894561227894","0.6626896057034333","0.7918333333333333","229.26278661177957"
"21","false","false","30","10","7","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.09150817484150818","0.051766051766051764","0.14714714714714713","0.6747429656639319","0.8146666666666667","232.72084528637623"
"22","false","false","30","10","8","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.10669002335669002","0.06218718718718719","0.1956956956956957","0.6724351576752672","0.8666666666666667","346.01849412158396"
"23","false","false","30","10","9","5","5","5","50","50","0","8","50","50","5","5","3","0","1000","0.1304637971304638","0.08697586475364254","0.2609275942609276","0.6865876385336743","0.96175","397.5112547882003"
