"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"SSD-experiment"
"05/23/2022 11:17:44:505 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","20","0","20"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles)"
"31","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","1","1000","0.27927927927927926","0","0.27927927927927926","0.9928315415398055","1","466.415770609319"
"32","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","1","1000","0.24224224224224225","0","0.24224224224224225","0.9772727284466566","1","467.65909090909093"
"33","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","1","1000","0.25175175175175174","0","0.25175175175175174","0.9930417498488195","1","477.92047713717693"
"36","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","2","1000","0.21921921921921922","0","0.21921921921921922","0.9771689510748316","1","487.36986301369865"
"34","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","1","1000","0.23823823823823823","0","0.23823823823823823","0.9957983195484076","1","479.44117647058823"
"38","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","2","1000","0.2017017017017017","0","0.2017017017017017","0.95657568507595","1","512.0248138957817"
"39","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","2","1000","0.22322322322322322","0","0.22322322322322322","0.9596412578676425","1","499.3206278026906"
"35","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","1","1000","0.26176176176176175","0","0.26176176176176175","0.9894837481126315","1","467.2925430210325"
"37","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","2","1000","0.3038038038038038","0","0.3038038038038038","0.9909390448542403","1","508.500823723229"
"23","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","0","4","1000","0.07307307307307308","0","0.07307307307307308","0.9383561749390111","1","537.2465753424658"
"43","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","3","1000","0.1956956956956957","0","0.1956956956956957","0.9782608709551873","1","473.5473145780051"
"44","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","3","1000","0.18618618618618618","0","0.18618618618618618","0.9865591406882298","1","468.3467741935484"
"45","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","3","1000","0.16766766766766766","0","0.16766766766766766","0.9895522395856537","1","455.67462686567166"
"40","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","2","1000","0.2087087087087087","0","0.2087087087087087","0.9868105523494872","1","467.01918465227817"
"41","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","3","1000","0.12212212212212212","0","0.12212212212212212","0.9713114783492338","1","491.1106557377049"
"46","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","4","1000","0.06756756756756757","0","0.06756756756756757","0.7962963340191974","1","483.77037037037036"
"49","false","false","30","10","0","5","5","5","50","50","0","0","50","50","5","5","1","4","1000","0.1111111111111111","0","0.1111111111111111","0.9954954960027594","1","502.27027027027026"
