"BehaviorSpace results (NetLogo 6.2.0)"
"harvest.nlogo"
"prison"
"05/23/2022 17:02:12:610 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","52","0","32"
"[run number]","render?","always-update-turtle-constants","density","spread-rate","num-turtles-s1","num-turtles-s2","shoot-vision-s1","shoot-vision-s2","shoot-accuracy-s1","shoot-accuracy-s2","shoot-threshold-s1","shoot-threshold-s2","shoot-chance-s1","shoot-chance-s2","eat-vision-s1","eat-vision-s2","eat-threshold-s1","eat-threshold-s2","[step]","overall-avg-gain","s1-avg-gain","s2-avg-gain","equality","sum-tics-alive / (ticks * num-turtles)","sum-time-gains / (sum [gain] of turtles + 0.001)"
"19","false","false","30","10","5","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.17409075742409075","0.12992992992992994","0.20563420563420565","0.8604657562689666","0.687","490.8387681654201"
"20","false","false","30","10","6","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1578244911578245","0.09576242909576244","0.21988655321988657","0.7604827348474217","0.7460833333333333","509.40195063321846"
"22","false","false","30","10","8","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.16207874541207876","0.12262262262262262","0.240990990990991","0.7592782466975467","0.7709166666666667","503.71615866384013"
"21","false","false","30","10","7","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1619119119119119","0.12255112255112255","0.217017017017017","0.7980134466769706","0.7188333333333333","496.1517278971005"
"23","false","false","30","10","9","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.18059726393059727","0.1502613724835947","0.2716049382716049","0.8368590454195535","0.8624166666666667","519.8505681983518"
"24","false","false","30","10","10","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.2165498832165499","0.2011011011011011","0.2937937937937938","0.8999101182911047","0.886","483.91814949223823"
"27","false","false","30","10","0","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1353853853853854","0","0.1353853853853854","0.8367707742863011","0.6284166666666666","495.0335828505343"
"25","false","false","30","10","11","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.20879212545879214","0.2032032032032032","0.2702702702702703","0.9475963377280596","0.95","501.98381862412356"
"26","false","false","30","10","12","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.2247247247247247","0.2247247247247247","0","0.9540099232863153","1","502.3027088705609"
"29","false","false","30","10","2","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14564564564564564","0.08308308308308308","0.15815815815815815","0.8383970599465445","0.61425","476.3966343661888"
"28","false","false","30","10","1","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.11436436436436437","0.057057057057057055","0.11957411957411958","0.8250060788201857","0.5749166666666666","482.91139102013784"
"30","false","false","30","10","3","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14456122789456122","0.0647313980647314","0.17117117117117117","0.7759703596845547","0.6439166666666667","497.6650330842279"
"31","false","false","30","10","4","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14873206539873207","0.08608608608608609","0.18005505505505506","0.7781426247896803","0.676","478.6452727732626"
"32","false","false","30","10","5","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.16458124791458126","0.0920920920920921","0.21635921635921637","0.7414836796756208","0.6685833333333333","494.65915121178347"
"33","false","false","30","10","6","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15340340340340342","0.09376042709376042","0.21304637971304638","0.7083106767529666","0.72375","517.9317466385282"
"34","false","false","30","10","7","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.16099432766099434","0.11382811382811382","0.22702702702702704","0.7739341968911917","0.7325","504.5069924834236"
"35","false","false","30","10","8","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.18184851518184852","0.1423923923923924","0.26076076076076077","0.8056810397553517","0.8","498.5277529689206"
"36","false","false","30","10","9","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.17525859192525858","0.14914914914914915","0.2535869202535869","0.8405331270823417","0.846","515.6613442830345"
"37","false","false","30","10","10","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19961628294961628","0.18118118118118118","0.29179179179179177","0.8931954313045072","0.9023333333333333","482.8435090499335"
"38","false","false","30","10","11","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.18843843843843844","0.17781417781417783","0.3053053053053053","0.8938951896119227","0.97","514.462366329187"
"40","false","false","30","10","0","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.14105772439105774","0","0.14105772439105774","0.7900172087522176","0.61425","475.25282362340414"
"39","false","false","30","10","12","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.19611277944611277","0.19611277944611277","0","0.8918836381681554","1","511.90535435756937"
"41","false","false","30","10","1","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.1574074074074074","0.043043043043043044","0.1678041678041678","0.8019342876657518","0.6245833333333334","513.1592405091466"
"42","false","false","30","10","2","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15265265265265265","0.0940940940940941","0.16436436436436436","0.842996174863388","0.5958333333333333","489.85656291991097"
"43","false","false","30","10","3","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15949282615949284","0.06506506506506507","0.19096874652430207","0.7443468619246862","0.6673333333333333","508.5494202147384"
"44","false","false","30","10","4","5","5","5","50","50","2","40","50","50","5","5","2","1","1000","0.15023356690023357","0.07057057057057058","0.19006506506506507","0.7488969646492689","0.6235","486.2301575623778"
